date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:29:14	20337/20337	---M-Z	200	added ('OK')	text/html	date:Thu,%2020%20Jun%202024%2002:04:08%20GMT	https://boa-forma.store/diabetes/?utm_source=www.facebook.com_organic&utm_content=%7C%7Cnemu_d0EBe-xxLd	C:/Meus%20Sites/Abacaxi/boa-forma.store/diabetes/indexe8be.html	(from )
14:29:14	4988/4988	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Jun%202024%2017:29:13%20GMT	https://boa-forma.store/robots.txt		(from )
14:29:15	57603/57603	---M--	200	added ('OK')	image/png	date:Thu,%2009%20May%202024%2004:36:53%20GMT	https://media.atomicatpages.com/Images/ogimage.png	C:/Meus%20Sites/Abacaxi/media.atomicatpages.com/Images/ogimage.png	(from https://boa-forma.store/diabetes/?utm_source=www.facebook.com_organic&utm_content=%7C%7Cnemu_d0EBe-xxLd)
14:29:16	1294/1294	---M--	200	added ('OK')	image/jpeg	etag:%220b06f2a5071f0f56ad64f55067c31257%22	https://images.converteai.net/6b7e9d53-aa0b-41d2-be15-b74506e77d64/players/666c6082cc20f1000ac0177e/thumbnail.jpg	C:/Meus%20Sites/Abacaxi/images.converteai.net/6b7e9d53-aa0b-41d2-be15-b74506e77d64/players/666c6082cc20f1000ac0177e/thumbnail.jpg	(from https://boa-forma.store/diabetes/?utm_source=www.facebook.com_organic&utm_content=%7C%7Cnemu_d0EBe-xxLd)
14:29:16	62441/62441	---MC-	200	added ('OK')	image/png	date:Thu,%2027%20Jun%202024%2009:29:04%20GMT	https://media.atomicatpages.com/u/eKPq6MudkvYtszhR6uZmBOZHcpv2/Pictures/jEuMwh3068477.png	C:/Meus%20Sites/Abacaxi/media.atomicatpages.com/u/eKPq6MudkvYtszhR6uZmBOZHcpv2/Pictures/jEuMwh3068477.png	(from https://boa-forma.store/diabetes/?utm_source=www.facebook.com_organic&utm_content=%7C%7Cnemu_d0EBe-xxLd)
14:29:16	11527/11527	---M-Z	200	added ('OK')	text/javascript	etag:%229a3688f2dfde6f969de7de66e0b51aa4%22	https://scripts.converteai.net/6b7e9d53-aa0b-41d2-be15-b74506e77d64/players/666c6082cc20f1000ac0177e/player.js	C:/Meus%20Sites/Abacaxi/scripts.converteai.net/6b7e9d53-aa0b-41d2-be15-b74506e77d64/players/666c6082cc20f1000ac0177e/player.js	(from https://boa-forma.store/diabetes/?utm_source=www.facebook.com_organic&utm_content=%7C%7Cnemu_d0EBe-xxLd)
14:29:17	226556/226556	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2027%20Jun%202024%2017:29:16%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Meus%20Sites/Abacaxi/connect.facebook.net/en_US/fbevents.js	(from https://boa-forma.store/diabetes/?utm_source=www.facebook.com_organic&utm_content=%7C%7Cnemu_d0EBe-xxLd)
14:29:18	43659/43659	---M--	200	added ('OK')	application/javascript	etag:W/%22aa8b-wNsmm5ZkBj+cpurZG1zJxvtw8XY%22	https://trackings.nemu.com.br/trackings/Au8tJvOF-V/script.js	C:/Meus%20Sites/Abacaxi/trackings.nemu.com.br/trackings/Au8tJvOF-V/script.js	(from https://boa-forma.store/diabetes/?utm_source=www.facebook.com_organic&utm_content=%7C%7Cnemu_d0EBe-xxLd)
14:29:18	10376/10376	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Jun%202024%2017:29:17%20GMT	https://boa-forma.store/diabetes/termos	C:/Meus%20Sites/Abacaxi/boa-forma.store/diabetes/termos.6.delayed	(from https://boa-forma.store/diabetes/?utm_source=www.facebook.com_organic&utm_content=%7C%7Cnemu_d0EBe-xxLd)
14:29:19	10376/10376	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Jun%202024%2017:29:18%20GMT	https://boa-forma.store/diabetes/privacidade	C:/Meus%20Sites/Abacaxi/boa-forma.store/diabetes/privacidade.7.delayed	(from https://boa-forma.store/diabetes/?utm_source=www.facebook.com_organic&utm_content=%7C%7Cnemu_d0EBe-xxLd)
